playerID,idx,lgID,yearID,teamID,data_split,Batting_AtBats,Batting_Runs,Batting_BaseOnBalls,Batting_Hits,Batting_HomeRuns,Batting_Games,Batting_BattingAverage,Batting_PlateAppearances,Batting_OnBasePct,Batting_SlugPct,Batting_Doubles,Batting_Triples,Batting_RunsBattedIn,Batting_StolenBases,Batting_CaughtStealing,Batting_Strikeouts,Batting_IntentionalWalks,Batting_HitByPitch,Batting_SacrificeHits,Batting_Sacrifice_Flies,Batting_GroundedIntoDoublePlays
aaronha01,1,NL,1954,ML1,train,468,58,28,131,13,122,0.28,509,0.322,0.447,27,6,69,2,2,39,0,3,6,4,13
aaronha01,1,NL,1955,ML1,train,602,105,49,189,27,153,0.314,665,0.366,0.54,37,9,106,3,1,61,5,3,7,4,20
aaronha01,1,NL,1956,ML1,train,609,106,37,200,26,153,0.328,660,0.365,0.558,34,14,92,2,4,54,6,2,5,7,21
aaronha01,1,NL,1957,ML1,train,615,118,57,198,44,151,0.322,675,0.378,0.6,27,6,132,1,1,58,15,0,0,3,13
aaronha01,1,NL,1958,ML1,train,601,109,59,196,30,153,0.326,664,0.386,0.546,34,4,95,4,1,49,16,1,0,3,21
aaronha01,1,NL,1959,ML1,train,629,116,51,223,39,154,0.355,693,0.401,0.636,46,7,123,8,0,54,17,4,0,9,19
aaronha01,1,NL,1960,ML1,train,590,102,60,172,40,153,0.292,664,0.352,0.566,20,11,126,16,7,63,13,2,0,12,8
aaronha01,1,NL,1961,ML1,train,603,115,56,197,34,155,0.327,671,0.381,0.594,39,10,120,21,9,64,20,2,1,9,16
aaronha01,1,NL,1962,ML1,train,592,127,66,191,45,156,0.323,667,0.39,0.618,28,6,128,15,7,73,14,3,0,6,14
aaronha01,1,NL,1963,ML1,train,631,121,78,201,44,161,0.319,714,0.391,0.586,29,4,130,31,5,94,18,0,0,5,11
aaronha01,1,NL,1964,ML1,train,570,103,62,187,24,145,0.328,634,0.393,0.514,30,2,95,22,4,46,9,0,0,2,22
aaronha01,1,NL,1965,ML1,train,570,109,60,181,32,150,0.318,639,0.379,0.56,40,1,89,24,4,81,10,1,0,8,15
aaronha01,1,NL,1966,ATL,train,603,117,76,168,44,158,0.279,688,0.356,0.539,23,1,127,21,3,96,15,1,0,8,14
aaronha01,1,NL,1967,ATL,train,600,113,63,184,39,155,0.307,669,0.369,0.573,37,3,109,17,6,97,19,0,0,6,11
aaronha01,1,NL,1968,ATL,train,606,84,64,174,29,160,0.287,676,0.354,0.498,33,4,86,28,5,62,23,1,0,5,21
aaronha01,1,NL,1969,ATL,train,547,100,87,164,44,147,0.3,639,0.396,0.607,30,3,97,9,10,47,19,2,0,3,14
aaronha01,1,NL,1970,ATL,train,516,103,74,154,38,150,0.298,598,0.385,0.574,26,1,118,9,0,63,15,2,0,6,13
aaronha01,1,NL,1971,ATL,train,495,95,71,162,47,139,0.327,573,0.41,0.669,22,3,118,1,1,58,21,2,0,5,9
aaronha01,1,NL,1972,ATL,train,449,75,92,119,34,129,0.265,544,0.39,0.514,10,0,77,4,0,55,15,1,0,2,17
aaronha01,1,NL,1973,ATL,train,392,84,68,118,40,120,0.301,465,0.402,0.643,12,1,96,1,1,51,13,1,0,4,7
